등록번호,처리상태,관할기관,행정구역,노선,방향,지번주소,도로명주소,파손종류
20230602084349001,보수,강서,양천구,,,양천구 신월동 840,양천구 국회대로 36,포트홀
20230602084345001,보수,강서,영등포구,,,영등포구 문래동5가 35,영등포구 도림천로 62,포트홀
20230602084334001,보수,강서,양천구,,,양천구 신월동 840,양천구 국회대로 30,포트홀
20230602084332001,보수,강서,구로구,신정~봉천선,목동중교 (신정동88),,,포트홀
20230602084324001,보수,강서,양천구,,,양천구 신월동 840,양천구 국회대로 30,포트홀
20230602084313001,보수,강서,양천구,궁동~영등포선,영등포로타리 (영등포동1가94),,양천구 신정로 312,포트홀
20230602084300001,보수,강서,양천구,신월~노량진선,한강대교남단 (노량진본동126),,양천구 오목로 276,포트홀
20230602084243001,보수,강서,양천구,신월~목동선,강서소방서 목동출장소 (목동900-12),양천구 목동 868,양천구 목동중앙서로 26,포트홀
20230602084022001,보수,강서,양천구,,,양천구 목동 807-13,양천구 등촌로 2,포트홀
20230602083808001,보수,강서,영등포구,온수~망우선,중랑구시계 (망우동산52-4),영등포구 영등포동 418-6,영등포구 경인로 818-1,포트홀
20230602083746001,보수,강서,영등포구,온수~망우선,중랑구시계 (망우동산52-4),영등포구 문래동1가 57-3,영등포구 경인로78길 1,포트홀
20230602083715001,보수,강서,영등포구,온수~망우선,,,영등포구 경인로 778,포트홀
20230602083620001,보수,강서,영등포구,온수~망우선,중랑구시계 (망우동산52-4),영등포구 여의도동 2-11,영등포구 여의대로 60,포트홀
20230602083538001,보수,강서,영등포구,,,영등포구 양화동 1-22,영등포구 노들로 56,포트홀
20230602083515001,보수,강서,강서구,고척~가양선,고척동3거리로타리 (고척동76),강서구 화곡동 662-5,강서구 강서로16길 1,포트홀
20230602083447001,보수,강서,강서구,고척~가양선,올림픽대로 (가양동 동신아파트),강서구 내발산동 724-28,강서구 강서로 324-2,포트홀
20230602025342010,보수,강서,영등포구,서부간선,금천구 시계,서울 영등포구 양평동 484,서울특별시 영등포구 선유로35길 25-1,포트홀
20230602025320010,보수,북부,종로구,,,서울 종로구 중학동 40-2,서울특별시 종로구 종로1길 58,포트홀
20230602025308010,보수,동부,송파구,,,서울 송파구 석촌동 299,서울특별시 송파구 삼학사로 52,포트홀
20230602025302010,보수,강서,양천구,신월~신당선,한양공고앞 (신당동251),서울 양천구 목동 882,서울특별시 양천구 국회대로 272,포트홀
